Address,CostRange,Cuisine,Name,PhoneNumber,ZipCode
"180 Walker St. SW, Atlanta",1,"Mexican,Desserts,Coffee and Tea",ADios Cafe @ No Mas!,(404) 574-5678,30313
"1350 Buford Hwy, Buford",1,"BBQ,Southern",Praise the Lard BBQ,(770) 362-4420,30518
"3195 Roswell Road NE, Buckhead, Atlanta",3,Thai,Annie's Thai Castle,(404) 264-9546,30305
558 Lakeland Plz,2,"Greek,Italian,Pizza",Giorgio’s Family Kitchen,(770) 781-4525,30040
"1960 Day Drive NW, Duluth",2,"BBQ,Korean",Myung Ga Won,(770) 622-1300,30096
"8879 Roswell Road, Sandy Springs",1,"American,BBQ,Pub Food",North River Tavern,(770) 552-8784,30350
"4600 Ashford Dunwoody Road NE, Atlanta",2,Pizza,California Pizza Kitchen at Perimeter Mall,(770) 393-0390,30346
"3172 Peachtree Rd NW, Atlanta",1,"American,Coffee and Tea,Greek",White House Restaurant,(404) 237-7601,30305
"4897 Buford Hwy, Chamblee",2,"Chinese,Japanese",J's Mini Hot Pot,(770) 458-8882,30341
"5155 Peachtree Parkway, Suite #320",3,"American,European",grace 17.20,(678) 421-1720,30092
500 Commerce Drive,3,Italian,Carrabba's Italian Grill,(770) 631-1057,30269
"560 Boulevard SE, Atlanta",2,American,Ziba's Restaurant and Wine Bar,(404) 622-4440,30312
5335 Old Hwy 5 #101,1,"Mexican,Tex-Mex",Tacos & Beer | Best Woodstock Mexican Restaurant,(678) 445-0762,30188
"3630 Peachtree Road NE, Suite 160, Buckhead",3,"American,French,Seafood,Spanish,Latin American,Tapas,Vegetarian",F & B Atlanta,(404) 254-1797,30326
"2201 Savoy Dr, Atlanta",1,"Sushi,Thai",Wild Ginger Thai Cuisine,(770) 451-3880,30341
"2460 Cumberland Pkwy SE, Suite 110",2,American,Padriac's,(770) 433-2398,30339
"745 Chastain Rd NW Ste 1030, Kennesaw",2,Sushi,Yellow Tail Sushi & Bar,(678) 905-8761,30144
"6426 Bells Ferry Road, Woodstock",2,"American,Bar Food",Jerseys Sports Bar and Grille,(770) 790-5740,30189
3290 Hamilton Mill Road,3,"American,Steak",Famous Joes,(770) 271-5637,30519
"11500 Webb Bridge Way, Ste A9",3,New American,Bite Bistro  Bar,(770) 754-5500,30005
"254 W Ponce De Leon Ave, Decatur",3,"American,Southern,Cajun,New American",The Pinewood Tippling Room,(404) 373-5507,30030
"960 Pleasant Hill Road, Suite E, Lawrenceville",2,"Latin American,Seafood,Peruvian",Sabor Inka Peruvian Cuisine,(770) 564-9136,30044
12040 Etris Road D100,2,"Southern,New American",Peach & the Porkchop,(770) 696-5409,30075
1160 Ernest West Barrett Parkway NW,2,"Italian,Pizza",Carrabba's Italian Grill,,30144
"2991 N Fulton Drive NE, Buckhead, Atlanta",2,Indian,Copper Cove Indian Bistro,(404) 923-3030,30305
"2501 Cobb Pl Ln NW, Kennesaw",2,American,Rafferty's Restaurant & Bar,(770) 792-8001,30144
"22 Buford Village Way #211, Buford",2,Italian,Dominick's of Buford,(770) 614-0019,30518
"5554 Chamblee Dunwoody Rd, Atlanta",2,Thai,Singha Thai,(770) 390-8619,30338
1210 Ashford Crossing,3,"Italian,Seafood,Steak",Carrabba's Italian Grill,,30346
"4 N Tennessee Street, Cartersville",1,"Mexican,Sandwich",Tacos N Subs,(770) 382-7321,30120
1420 Towne Lake Parkway,3,"American,Steak",LongHorn Steakhouse,(770) 924-5494,30189
"150 Stone Street, Villa Rica",4,"Italian,Greek",The Olive Tree Restaurant Villa Rica,(770) 456-6456,30180
"3300 Cobb Parkway #114, Vinings, Atlanta",3,"Japanese,Sushi",Hoki Japanese Restaurant,(770) 690-0555,30339
"3717 Roswell Road NE, Buckhead, Atlanta",2,"American,Bar Food",The Ivy Buckhead,(404) 941-3081,30342
"1039 Marietta Street, Atlanta",2,"American,Sandwich",TINY Bistro,(404) 745-9561,30318
"5370 Peachtree Industrial Blvd, Norcross",2,Thai,Thai Star,(770) 326-9991,30071
"1605 Pleasant Hill Rd, Duluth",2,Chinese,Fung Mei,(770) 935-8888,30096
"1570 Holcomb Bridge Road, Roswell",3,New American,Foundation Social Eatery,(770) 641-8877,30076
"1359 Clairmont Road, Decatur",3,"Thai,Sushi",Mint 2 Thai-Sushi,(678) 999-9888,30033
"45 S. Peachtree Street, Norcross",1,"Breakfast,Coffee and Tea,Sandwich",45 South Cafe,(770) 409-4009,30071
"10900 Medlock Bridge Rd Ste 105, Johns Creek",1,"Chinese,Thai,Vietnamese",Le Mekong Vietnamese Cuisine,(770) 622-5000,30097
"1727 Mars Hill Road NW, Acworth",3,"Mexican,Tex-Mex",La Cocina Mexican Restaurant,(770) 422-1455,30101
"142 Flat Shoals Avenue SE, Atlanta",1,"Cafe,Coffee and Tea,Sandwich",ParkGrounds,(678) 528-9901,30316
"3130 Slaton Drive NW, Buckhead, Atlanta",2,"American,Southern",Swan Coach House,(404) 261-0636,30305
"4330 Peachtree Rd NE, Atlanta",1,"American,Pizza,Sandwich",Newk's Express Cafe,(678) 365-4410,30319
"2072 Defoors Ferry Road NW, Atlanta",1,"Asian,Burger",Ssam Burger,(404) 609-5533,30318
"3780 Old Norcross Road, Duluth",2,"Italian,Pizza",Rudy's New York Pizza,(770) 813-5585,30096
"825 Duluth Highway, Lawrenceville",1,"Fast Food,Latin American,Caribbean",Pollo Tropical,(770) 339-7913,30043
"3616 Satellite Blvd., Duluth",3,"Asian,BBQ,Korean",Song Do Korean BBQ,(770) 497-9799,30096
"8465 Holcomb Bridge Road, Johns Creek",3,"Italian,Pizza",Mona Lisa Italian Restaurant,(678) 822-6662,30022
"240 N Highland Avenue NE, Atlanta",1,"Desserts,Coffee and Tea",Inman Perk Coffee,(678) 705-4545,30307
"962 Roswell St SE, Marietta",2,Middle Eastern,Shish Kabob Mediterranean Grill,(770) 499-7399,30060
"10820 Abbotts Bridge Road, Johns Creek",3,"Japanese,Sushi",Kani House,(770) 495-7989,30097
"4306 Lawrenceville Highway, Tucker",3,"Japanese,Sushi",Kochi,(770) 939-3831,30084
"1465 Hudson Bridge Rd. #119, Stockbridge",1,"American,Fast Food",RuChDa Wings,(770) 474-7277,30281
"6640 Akers Mill Road., Atlanta",1,Coffee and Tea,Chattahoochee Coffee Company,(770) 955-0788,30339
"8990 Main St, Woodstock",2,British,Tea Leaves & Thyme,(770) 516-2609,30188
"1193 Collier Road NW, Atlanta",2,"Burger,Sandwich,Cajun,Creole",Big Easy Grille,(404) 352-2777,30318
4719 Ashford Dunwoody Road Ste 101,2,"American,Bar Food",The Bird Rotisserie & Sports,(770) 804-8288,30338
"111 New Street, Decatur",2,"Cafe,Breakfast",Duck's Cosmic Kitchen,(404) 371-8823,30030
"931 Monroe Drive, Suite A 101, Atlanta",2,"Japanese,Korean",Kiri,(404) 875-0800,30308
"2300 Holcomb Bridge Rd, Roswell",1,"Breakfast,Coffee and Tea",Cafe Au Lait,(770) 641-9607,30076
"758 Ponce De Leon Ave NE, Atlanta",1,American,The Local,(404) 873-5002,30306
"454 Cherokee Avenue SE, Atlanta",1,"American,Mexican,Southwestern",Dakota Blue,(404) 589-8002,30312
"10930 Crabapple Rd, Roswell",2,"Chinese,Thai",Thai House,(770) 993-1688,30075
"5084 Buford Hwy NE, Doraville",1,Mexican,El Taco Veloz,(770) 936-9094,30340
2500 Cobb Place Lane NW Ste 800,3,American,The Melting Pot of Kennesaw,(770) 425-1411,30144
"1260 Cumberland Mall SE, Atlanta",2,"American,Sandwich",Fresh To Order - f2o,(678) 564-1400,30339
"37 Beatty St, Ste 115, Hiram",2,"Italian,Mediterranean,Greek",The Olive Tree Restaurant,,30141
"4135 Lavista Rd, Tucker",1,"Chinese,Japanese",Lucky Key Chinese,(770) 270-1188,30084
250 Park Avenue West Nw,3,"Mexican,Southwestern,Tex-Mex",Baja Fresh Mexican Grill,,30313
"9680 Main Street, Woodstock",1,Burger,Burger Inn,(770) 926-1308,30188
"1715 Howell Mill Rd NW, Atlanta",2,"Chinese,Sushi,Vegetarian",Chin Chin Chinese Cuisine,(404) 609-5618,30318
"377 Moreland Ave NE, Atlanta",1,"Burger,Desserts,Fast Food",Zesto,(404) 523-1973,30307
"2100 Highway 54, Peachtree City, Atlanta",1,Chinese,Chin Chin Chinese Restaurant,(770) 487-9188,30269
"6205 Hickory Flat Hwy Ste 112, Canton",1,"Desserts,Deli,Ice Cream,Sandwich",Frosty Frog Creamery,(770) 704-9333,30115
"1492 Piedmont Avenue NE, Atlanta",2,"Asian,Thai",Bangkok Thai,(404) 874-2514,30309
"7450 Douglas Blvd, Douglasville",3,"Italian,Seafood,Steak",Sam & Rosco's Restaurant,(770) 949-1195,30135
"2934 Atlanta Rd SE, Smyrna",1,"Breakfast,Burger,Diner",Ken's Corner Grill,(770) 436-3251,30080
"2745 Sandy Plains Road, Marietta",1,"American,Southern",Judy's Country Kitchen,(678) 388-8680,30066
1492 Highway 74 North Ste 6D,2,BBQ,The Ohio Hog Company,(770) 969-2464,30290
"5495 Jimmy Carter Boulevard, Norcross, Atlanta",1,Vietnamese,Nam Phuong Restaurant,(770) 409-8686,30093
"29 Jones Street, Norcross, Norcross",2,"American,British,Burger",The Iron Horse Tavern,(678) 291-9220,30071
"85 Poplar Street NW, Downtown, Atlanta",1,"Italian,Pizza,Sandwich,New American",Slice,(404) 917-1820,30303
699 Ponce De Leon Avenue NE,2,"Chinese,Sushi",Chin Chin II,(404) 881-1511,30308
"1680 Mall Of Georgia Boulevard, Buford",3,"American,Steak,Burger",Ted's Montana Grill,(678) 546-3631,30519
"749 Moreland Ave SE, Atlanta",2,"Italian,Pizza,Sandwich",Little Azio,(404) 624-0440,30316
2130 Jodeco Road,2,"Italian,Pizza,Bar Food",15th Street Pizza & Pub,(770) 507-1478,30281
"9610 Hwy 5, Douglasville",2,"Seafood,Steak",Sea Breeze Seafood,(770) 577-9400,30135
"2475 Barrett Creek Parkway, Marietta",2,"American,Steak,BBQ",Texas Roadhouse,(770) 429-9019,30066
308 Main Street,2,Pizza,Sals Pizza,(770) 443-1492,30132
"10595 Old Alabama Connector Rd, Alpharetta",1,Sandwich,Fancy Pantry,(770) 650-6544,30022
"5131 Peachtree Pkwy, Norcross",1,"American,Sandwich",Jason's Deli,(770) 368-9440,30092
"3537 Chamblee Tucker Rd, Atlanta",1,American,Three Dollar Cafe Jr.,(770) 457-8875,30341
"7887 Roswell Rd, Sandy Springs",1,Brazilian,Porto Brasil,(770) 390-2280,30350
"1051 Ponce De Leon Avenue NE, Atlanta",2,American,The Righteous Room Atlanta,(404) 874-0939,30306
834 Glynn Street South 228,2,"Italian,Pizza,Sandwich",Partners II Pizza,(770) 716-1528,30214
"140 Depot Drive, Hiram",2,"American,Steak,BBQ",Texas Roadhouse,(770) 439-1919,30141
"9745 Hwy 92, Woodstock",1,"Pizza,Sandwich",Uncle Maddio's Pizza Joint,(770) 591-2685,30188
"3020 Five Forks Trickum Rd SW, Lilburn",1,BBQ,Tipsy Pig BBQ,(770) 885-5313,30047
"800 Ernest W Barrett Pkwy NW, Kennesaw",1,Mexican,El Nopalito Mexican,(770) 590-9253,30144
"8265 hwy 92, Woodstock",1,Mexican,Mi Casa Mexican Restaurant,(770) 591-3483,30189
3109 Briarcliff Road NE,1,"Pizza,Sandwich",Mo's Pizza,(404) 320-1258,30329
3610 Satellite Boulevard,3,American,The Melting Pot of Duluth,(770) 623-1290,30096
"4055 Old Milton Pkwy #9, Alpharetta",2,"Steak,Brazilian",Ipanema Brazilian Steakhouse,(770) 864-1126,30022
400 West Peachtree Street,1,"Italian,Pizza,Sandwich",Mellow Mushroom,(404) 577-1001,30308
"2144 Johnson Ferry Rd Northeast, Atlanta",2,Indian,Moon Indian Cuisine,(770) 817-1097,30319
"3485 Acworth Due West Road NW, Suite 200, Acworth",1,"American,Breakfast,Sandwich,Southern",Daddy's Country Kitchen,(770) 974-2281,30101
"286 Highway 74 North, Peachtree City",2,"Japanese,Sushi,Teriyaki",Sushi Tomi Japanese Restaurant,(770) 631-1108,30269
"3165 Elm Street NE, Covington",3,Mexican,El Charro Mexican Restaurant,(770) 786-2483,30014
"2750 Buford Hwy, Duluth",2,"Cafe,Seafood,Cajun",Boudreaux's Cafe Acadiana,(770) 814-8388,30096
"1113 Floyd Street NE, Covington",3,"Soul Food,Southern,Cajun,Creole",R L's Off The Square,(770) 385-5045,30014
"60 Broad Street NW, Atlanta",1,"Mediterranean,Sandwich",Ali Baba Mediterranean,(404) 681-3997,30303
"4250 Roswell Road, Marietta",2,Pizza,California Pizza Kitchen at Pine Straw,(770) 971-7950,30062
"2790 Lawrenceville Suwanee Rd., Suwanee",2,"Japanese,Sushi",Kang Buk Japanese Restaurant,(678) 714-7147,30024
"75 5th Street NW, Atlanta",2,"Japanese,Korean,Sushi,Bubble Tea",Umma's House Restaurant & Cafe,(404) 477-3255,30308
"4394 Hugh Howell Rd, Tucker",1,"Asian,Thai",Mai Thai Restaurant,(770) 493-8002,30084
"1969 Dogwood Road, Snellville",3,"American,Steak,BBQ",Texas Roadhouse,(770) 985-1450,30078
"2169 Briarcliff Road NE, Druid Hills/Emory, Atlanta",3,"Asian,Thai",Thai Chili,(404) 315-6750,30329
5610 Glenridge Drive.,1,"Mediterranean,Greek",Taziki's Mediterranean Cafe,(678) 365-4403,30342
"6690 Roswell Road, Suite 410, Sandy Springs",2,"Asian,Chinese",Canton Cook II,(404) 255-8000,30328
"460 Crosstown Dr, Peachtree City",1,Fast Food,Dickey's Barbecue Pit,(678) 364-9573,30269
"880 Atlanta St, Roswell",1,Mexican,El Zarape Mexican Restaurant,(770) 998-6553,30075
4724 Dallas Acworth Hwy,1,"BBQ,Breakfast,Steak",Rodney's Bar-B-Que And Catering,(770) 445-5900,30132
"980 Birmingham Rd #303, Alpharetta",2,"Japanese,Sushi",Tokyo Sushi,(678) 240-0602,30004
"144 E Crogan St, Lawrenceville",2,"Italian,Pizza",Cosmo's Original Little Italy,(770) 338-9274,30045
"1148 Euclid Avenue NE, Little Five Points/Candler Park, Atlanta",2,"Asian,Japanese,Thai,Sushi",Thai 5 & Sushi Bar,(404) 521-3555,30307
"3999 Austell Road, Austell",1,Thai,Thai of Austell,(404) 940-1409,30106
"4620 Kimball Bridge Rd, Alpharetta",1,"Breakfast,Coffee and Tea,Sandwich",Bagel Boys Cafe,(678) 240-0205,30005
"1675 Cumberland Parkway Southeast, Smyrna",3,American,Eleanor's,(770) 434-1114,30080
"657 Holcomb Bridge Rd, Roswell",2,"Asian,Chinese",China Garden,(770) 993-5511,30076
"45 Satellite Blvd NW # 4, Suwanee, Suwanee",1,"Coffee and Tea,Donuts",Sara Donuts,(770) 271-1129,30024
"340 Town Center Avenue, Suwanee",1,Desserts,Rita's Italian Ice,(678) 765-2889,30024
"3760 Sixes Rd Ste 104, Canton",1,Sandwich,Soho Bagel Co,(770) 479-6050,30114
"123 Sycamore Street, Decatur",3,"Asian,Thai",Siam Thai,(404) 371-4333,30030
"4810 Covington Hwy, Decatur",1,"Asian,Chinese",Imperial of China,(404) 284-8811,30035
"4904 Jimmy Lee Smith Pkwy., Hiram",3,"Japanese,Seafood,Sushi",Taki Japanese Steakhouse,(678) 567-5888,30141
540 Old Mill Road,1,Mexican,El Nopal Mexican Restaurant,(770) 382-8550,30120
"4639 N Shallowford Rd, Atlanta",2,"Asian,Seafood,Thai",Simply Thai,(770) 458-9977,30338
"645 Whitlock Ave SW, Marietta",2,"American,Greek",Nik's Place Restaurant and Bar,(678) 355-1088,30064
5000 Winters Chapel Road Suite 6,2,"Fast Food,Mediterranean,Greek",Gyro Gyro,(770) 352-4976,30360
"1432 Dogwood Drive Southeast, Conyers",2,"Mexican,Tex-Mex",Don Tello's Tex Mex Grill,(770) 388-9971,30013
"950 Cobb Pkwy S, Marietta",2,"Mediterranean,Middle Eastern,Vegetarian",Falafel Cafe,(770) 429-8999,30060
105 Sycamore Pl,2,"Mexican,Tex-Mex",Coyote's Mexican,(404) 373-9383,30030
"957 South Main Street, Conyers",2,"Mexican,Tex-Mex",Las Flores,(770) 602-4949,30012
"255 Peters St, Atlanta",2,,255 Tapas Lounge,(404) 522-2612,30313
"5074 Stone Mountain Hwy, Stone Mountain",2,Mexican,Frontera Mex-Mex Grill - Stone Mountain,(770) 972-3366,30087
"90 Marietta Station Walk NE, Marietta",3,"French,Desserts",Le Cafe Crepe,(770) 426-8003,30060
1810 Cheshire Bridge Road NE,1,"Italian,Pizza,Sandwich",Johnny's New York Style Pizza,(404) 874-8304,30324
"2172 Hwy 20 W, McDonough",1,Chinese,China House,(770) 288-2389,30253
"2631 Peachtree Parkway, Suwanee",2,"Burger,Pizza,Sandwich",Sid's Pizza & Grill,(678) 319-4288,30024
"340 Ponce De Leon Avenue, Decatur",1,Desserts,New Orleans Snoball Cafe,(404) 788-9141,30030
805 Glynn Street South Suite 141,2,"Asian,Chinese,Japanese,Seafood,Thai,Sushi",Royal Stix,(770) 716-6128,30215
"3165 Buford Hwy, Duluth",3,"American,Southern,Diner",Duluth Rexall Grill,(770) 623-8569,30096
"3780 Old Norcross Rd, Duluth",2,Vietnamese,New Saigon Vietnamese Bistro,(770) 495-8828,30096
"3718 Dallas Highway, Marietta",2,"Japanese,Sushi",Okinawa,(770) 218-0982,30064
"3865 Lavista Rd, Tucker",1,"Mexican,Southwestern",Monterrey,(770) 493-3565,30084
5460 Wendy Bagwell Parkway,2,"Tex-Mex,Southwestern",Huey Luey's,(678) 567-0080,30141
"2870 Peachtree Industrial Blvd Suite C&D, Duluth",2,"American,Italian",Pepperoni's,(770) 232-0224,30096
"6400 North Point Parkway, Alpharetta",3,Steak,Outback Steakhouse,(770) 442-8775,30022
"2005 Cobb Pkwy NW, Kennesaw",1,"Breakfast,Fast Food,Sandwich",Martin's,(678) 354-8674,30152
"8897 Roswell Road, Sandy Springs",1,"Cafe,Mediterranean,Middle Eastern",Samad Mediterranean Grill and Market,(770) 807-3700,30350
"5399 Bells Ferry Road, Acworth",2,Thai,Thai Ginger,(678) 494-0880,30102
"1041 W Peachtree Street NW, Atlanta",3,Pub Food,Eleventh Street Pub,(404) 724-9060,30309
"4920 Roswell Road NE, Suite 14 Atlanta",1,"Mediterranean,Middle Eastern,Sandwich,Salad",Cafe Posh,(404) 303-7303,30342
6390 Roswell Road,2,"American,Steak",LongHorn Steakhouse,(404) 843-1215,30328
"28 West Main St, Cartersville",1,American,Jefferson's Restaurant,(770) 334-2069,30120
"646 Evans St SW, Atlanta",1,"American,Diner,International",Chanterelle's Cafe,(404) 758-0909,30310
"3005 Old Alabama Road, Johns Creek",2,"Asian,Japanese,Sushi",Sushi Sumo,(770) 752-8488,30022
"637 N Central Ave, Atlanta",1,Southern,Maritza & Frank's,(404) 559-6110,30354
"5350 United Drive SE, Suite 106",2,"Italian,Pizza,Sandwich",Siracusa's New York Pizzeria,(770) 432-7454,30082
"2757 Lavista Road, Decatur",1,"American,Sandwich",Oak Grove Market,(404) 315-9831,30033
"2955 Cobb Parkway SE, Atlanta",1,"Coffee and Tea,Breakfast,Sandwich",The Original Brooklyn Water Bagel Co.,(770) 988-9991,30339
"5295 Stone Mountain Hwy, Stone Mountain",2,"American,Japanese,Sushi",Nagano,(770) 413-6151,30087
"110 W College Street, Griffin",3,"American,Seafood",J Henrys,(678) 688-1769,30224
680 Powder Springs Street Ste 108,1,"Caribbean,Soul Food",Natty's Jamaican & Soul Food Restaurant,(678) 354-3838,30064
"253 Peters Street SW, Atlanta",3,"Japanese,Seafood",Pearl Restaurant & Lounge,(404) 523-2121,30313
"580 Atlanta Road., #34, Tri County Plaza Publix Shopping Center",2,"Italian,Pizza",Marie's Italian Deli,(770) 886-0084,30040
"5435 Peachtree Road, Chamblee",1,"Desserts,Ice Cream",Frosty Caboose,(770) 451-4556,30341
"4500 West Village Place, Suite 1005, Smyrna",2,"Japanese,Sushi",Sushinobo in Vinings,(678) 401-7322,30080
"3101 Roswell Road, Marietta",1,"American,Mexican",Los Arcos,(678) 560-8222,30062
"5610 Glenridge Dr, Sandy Springs",3,"Japanese,Sushi",Sushi Nami too,(404) 844-2891,30342
1545 North Decatur Road,1,Sandwich,Panera Bread,(404) 373-4240,30307
"5356 Peachtree Rd, Chamblee",1,"Desserts,Tea",Zen Tea,(678) 547-0877,30341
"1931 Peachtree Road NE, Atlanta",2,American,Black Bear Tavern,(404) 355-9089,30309
"136 W Solomon St, Griffin",1,"Italian,Pizza,Sandwich",Slices Pizzeria,(770) 227-0022,30223
"3960 Mary Eliza Trace, Marietta",1,"Coffee and Tea,Sandwich",Daily Grind Coffee House & Cafe,(770) 422-9480,30064
"2815 Buford Drive, Buford",1,"Coffee and Tea,Tea",Boulder Creek Coffee,(678) 765-7985,30519
"1642 McLendon Ave, Atlanta",1,"Healthy Food,Burger,Sandwich",Candler Park Market Deli and Kitchen,(404) 373-9787,30307
"4044 Lawrenceville Hwy, Lilburn",1,"Latin American,Colombian",Las Arepas de Julia,(770) 559-4094,30047
"2944 Rosebud Rd, Loganville",1,"Japanese,Sushi",Nagoya Japanese Restaurant,(770) 972-8899,30052
2823 East College Avenue,1,"American,Cafe,Pizza",Avondale Pizza Cafe,(404) 299-6922,30030
"3940 Cherokee St., Kennesaw",1,Southern,Donny's Home Cooking,(770) 499-1111,30144
"3101 Roswell Rd, Marietta",2,Chinese,House of Ming,(770) 977-7538,30062
"3139 Hwy 11 S, Mansfield",3,"Burger,BBQ",Where There's Smoke BBQ and Catering,(770) 786-9400,30055
"2141 Candler Rd, Decatur",1,"BBQ,Southern",Hodge's Bar-B-Que,(404) 284-4644,30032
"21 Hudson Plz, Fayetteville",1,Chinese,Golden Chopstix,(770) 461-9600,30214
"255 Village Parkway NE, Suite 240A, Marietta",3,"Coffee and Tea,Breakfast",Sugar Benders Bakery,(678) 665-2211,30067
"10479 Alpharetta Street, Roswell",1,Mexican,Taqueria San Pancho,(770) 552-1155,30075
"9700 Medlock Bridge Rd, Johns Creek",3,"Japanese,Sushi",Kampai Japanese & Hibachi,(678) 417-0086,30097
"13788 Highway 9 N, Alpharetta",1,Fast Food,Zaxby's,(770) 772-9356,30004
"6986 McEver Road Stuie A, Buford",1,"American,Mediterranean,Pizza,Greek",Athenas Pizza Buford,(770) 831-8311,30518
"9300 The Landing Dr, Douglasville",2,"Japanese,Seafood,Steak",Daruma,(770) 489-1285,30135
"3662 Chamblee Tucker Rd, Chamblee",1,"Asian,Chinese",Hunan Inn Chinese,(770) 493-8268,30341
"2879 E Point St, East Point",1,American,Chic-a-Loes,(404) 768-1811,30344
"2755 Canton Rd, Marietta",2,"Mediterranean,Middle Eastern",Jasmine Cafe,(678) 290-0211,30066
840 Glynn Street South Ste 330,1,Asian,Royal Chef,(770) 716-8299,30214
"4850 Sugarloaf Parkway, Lawrenceville",1,"American,Asian,Sandwich",J Buffalo Wings,(770) 236-9900,30044
"3312 Peachtree Industrial Blvd Ste 2, Duluth",1,"Pakistani,Indian,Vegetarian",Maruthi Foods,(404) 578-7500,30096
"48 Market Square Rd, Newnan",1,"American,Italian,Pizza",Partners II Pizza at Summergrove,(770) 253-9221,30265
840 Ernest West Barrett Parkway NW,1,Sandwich,Wing Factory Cafe,(770) 794-9373,30144
"2060 Lower Roswell Rd, Marietta",1,"American,Asian",Three Colors Asian Kitchen,(770) 977-1688,30068
"1112 Bullsboro Drive, Newnan",2,"American,Steak",Longhorn Steakhouse,(770) 252-5300,30264
"9925 Haynes Bridge Rd, Johns Creek",1,"American,Sandwich",Brooklyn Bagel Bakery Comp,(770) 569-7290,30022
"1025 Veterans Memorial Hwy, Mableton",1,"Fast Food,Sandwich,Seafood",AmeriBistro,(770) 739-0604,30126
"11880 Douglas R0ad, Alpharetta",2,"Mediterranean,Middle Eastern,Iranian",Noosh Kitchen,(770) 609-8133,30005
"10 Northside Dr NW, Atlanta",1,Seafood,Jamal's Buffalo Wings,(404) 221-0088,30314
"198 Carroll Street, Atlanta",1,Deli,Little's Food Store,(404) 963-7012,30312
"5340 Old National Hwy, Atlanta",1,Seafood,Yasin's Fish Supreme,(404) 765-9823,30349
"10305 Medlock Bridge Rd, Johns Creek",1,"Coffee and Tea,Sandwich",Great Harvest Bread Company,(770) 622-0222,30097
"5998 Memorial Drive, Suite B",1,"Caribbean,Jamaican",Sunshine Jamaican Restaurant,,30083
"1592 Atlanta Road SW, Marietta",1,"Bakery,German",Bernhard's Bread Bakery & Cafe,(770) 218-1153,30060
"5775 Jimmy Carter Blv, Norcross",1,"American,Middle Eastern,Pakistani",Karachi Broast and Grill,(678) 291-0101,30071
"8113 Tara Blvd, Jonesboro",1,"American,Italian,Pizza",Rocky's Pizza & Sub,(770) 478-2620,30236
"60 E Pike St, Lawrenceville",1,American,Little Barn,(770) 962-1367,30045
"3631 Peachtree Industrial Blvd, Duluth",1,"Burger,Sandwich",B Q Wings,(770) 497-0088,30096
"3735 Trickum Rd NE, Marietta",1,"Desserts,Ice Cream",Bruster's Ice Cream,(770) 516-7722,30066
"1100 Johnson Ferry Rd, Marietta",1,Sandwich,Firehouse Subs,(770) 565-5952,30068
"2566 Shallowford Rd NE, Atlanta",1,Chinese,Hop Shing,(404) 329-9636,30345
"6889 Peachtree Industrial Blvd, Norcross",2,"African,Breakfast,Cajun",Queens Restaurant & Lounge,(404) 759-6225,30092
"1230 Powers Ferry Rd SE, Marietta",1,"Asian,Chinese",China Doll,(770) 955-6544,30067
"4300 Chapel Hill Rd, Douglasville",1,Chinese,Wings And Chinese,(770) 949-6666,30135
"4230 Lawrenceville Hwy NW, Lilburn",2,"Asian,Chinese",Jade Dragon,(770) 381-1818,30047
"3393 Peachtree Rd NE, Atlanta",1,"American,Southern",Farmer's Basket,(404) 995-0089,30326
"3530 Ashford Dunwoody Rd Northeast, Atlanta",1,"Desserts,Beverages",Rita's Italian Ice and Old Fashioned Frozen Custard,(770) 986-9335,30319
"455 Grayson Hwy, Lawrenceville",1,"American,Caribbean,Jamaican",Jamaica Breeze,(770) 962-3989,30045
"4188 E Ponce De Leon Ave, Clarkston",1,"International,Mediterranean,Middle Eastern",Merhaba Shawarma,(404) 228-2644,30021
"798 Ponce De Leon Ave NE, Atlanta",1,"Asian,Chinese",China Dragon,(404) 815-8898,30306
"860 Duluth Hwy, Lawrenceville",2,"Latin American,Colombian",Trigos Colombian Restaurant,(678) 985-3444,30043
"1823 Hwy 138 SE Ste 300B, Conyers",1,Chinese,Dynasty Chinese Restaurant,(770) 483-0800,30013
"3655 Roswell Road NE, Buckhead, Atlanta",2,"French,Cafe",Gallery Cafe,(404) 848-8474,30342
"2505 Old Norcross Rd, Lawrenceville",1,Chinese,Lee's Express Chinese Food,(770) 963-0500,30044
"5110 Browns Bridge Rd, Cumming",1,Chinese,Yuan Li Chinese Restaurant,(770) 888-5168,30041
"4958 Redan Road, Stone Mountain",1,"American,Breakfast,Southern",King Southern Delight,(404) 501-0182,30088
"5495 Old National Hwy, Atlanta",3,American,Grown Folks Cafe,(404) 767-9011,30349
"2885 Lower Union Hill Road, Canton",1,American,Sugar Pike Junction,(770) 475-2324,30115
"8200 Mall Pkwy, Lithonia",1,Chinese,Grand China,(678) 323-8736,30038
"5328 Old National Hwy, Atlanta",1,Bar Food,Baby Grand Piano Bar,(404) 767-0030,30349
"2860 East-West Connector, Austell",1,"American,Burger,Sandwich",RuChDa Wings,(770) 943-9399,30106
"6025 Old National Highway, Atlanta",2,Caribbean,Golden Krust Caribbean Bakery & Grill,(678) 489-8913,30349
2564 Gresham Road SE,1,Bar Food,Bigelow's Bar and Grill,(404) 241-5777,30316
"1393 North Highland Avenue, Atlanta",2,"American,Vegetarian,Southern",Casseroles,(404) 228-3260,30306
2107 Candler Road,2,American,Gutbusters,(404) 284-1801,30032
